zgbh,icid
1333283   ,2673695323
1333396   ,0972943195
1333413   ,0967701115
1333443   ,1789212075
1333477   ,0873099211
1333496   ,4143486574
1333511   ,0976349083
1333513   ,1764633403
1333530   ,0874197003
1333738   ,2675071003
1334029   ,2755041210
1334099   ,4136948734
1334827   ,3536552462
1335406   ,1787401451
1312079   ,3208821122
1312194   ,2502925280
1312404   ,2662799707
1313085   ,0758268698
1313102   ,0968923019
1313285   ,1789437483
1314275   ,0869795147
1314326   ,1784389147
1314343   ,0965241675
1314428   ,2675383051
1314492   ,0486240987
1316458   ,0762058522
1316984   ,0311042458
1317183   ,4225838556
1318087   ,0866609979
1318140   ,4137472958
1318159   ,3529396078
1318172   ,3537267870
1318176   ,4027724705
